id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
284,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. fischeri,3,1,2,mestrado
285,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. whitmani,2,0,2,mestrado
286,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. intermedia,112,67,45,mestrado
287,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. migonei,4,0,4,mestrado
288,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. fischeri,6,4,2,mestrado
289,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. whitmani,3,2,1,mestrado
290,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. intermedia,48,38,10,mestrado
291,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. fischeri,1,1,0,mestrado
292,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,arvore,L. intermedia,8,1,7,mestrado
293,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,arvore,L. whitmani,1,1,0,mestrado
294,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. intermedia,103,103,0,mestrado
295,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. migonei,1,0,1,mestrado
296,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. fischeri,8,8,0,mestrado
297,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. whitmani,6,6,0,mestrado
